layer,real_name,DL,LL
"LOAD_001_기계실_발전기실_(지하_층)_DL_2.3_LL_10","기계실 발전기실 (지하 층)",2.3,10.0
"LOAD_002_로비_및_홀_DL_4.5_LL_5","로비 및 홀",4.5,5.0
"LOAD_003_소화수조_및_정화조_(지하_층)_DL_4.6_LL_15","소화수조 및 정화조 (지하 층)",4.6,15.0
"LOAD_004_업무시설_DL_4.5_LL_3.5","업무시설",4.5,3.5
"LOAD_005_옥상조경_DL_18.2_LL_3","옥상조경",18.2,3.0
"LOAD_006_옥탑지붕층_DL_6.2_LL_1","옥탑지붕층",6.2,1.0
"LOAD_007_저수조_(지하_층)_DL_4.6_LL_40","저수조 (지하 층)",4.6,40.0
"LOAD_008_제연팬룸_(지하_층)_DL_2.3_LL_5","제연팬룸 (지하 층)",2.3,5.0
"LOAD_009_주차통로_및_주차장_(1F)_DL_16.78_LL_13","주차통로 및 주차장 (1F)",16.78,13.0
"LOAD_010_지붕층_DL_6.2_LL_3","지붕층",6.2,3.0
"LOAD_011_지붕층_(태양광)_DL_7.2_LL_3","지붕층 (태양광)",7.2,3.0
"LOAD_012_화장실_DL_12.26_LL_3","화장실",12.26,3.0
"LOAD_013_후정_(1F)_DL_7.64_LL_5","후정 (1F)",7.64,5.0
